title	type	desc	provider	source	publisher	classification	open	update freq	from	to	coverage notes	topic	geo coverage	contact point	contact email	contact phone
Building and property violations	5857ee5c14c9af98469126cc	['Tabular']	['Inspectional Services Department']	['City wide Enterprise Permitting and Licensing Software']	['Department of Innovation and Technology']	['Public Record']	yes	['Daily']	2017-01-01	none		['inspections']	['Boston (all)']	Director of Publicity, ISD	isd@boston.gov	(617) 961-3429
City of Boston food establishment inspections	5852e848f61d99714adbc234	['Tabular']	['Health Division, Inspectional Services Department']	['City wide Enterprise Permitting and Licensing Software']	['Department of Innovation and Technology']	['Public Record']	no	['Daily']	2008-01-01	none		['inspections']	['Boston (all)']	Health Division, Inspectional Services Department	isdhealth@boston.gov	(617) 635-5326
BRJP contract compliance data	584f7043d8b173ec48372a48	['Tabular']	['Boston Residents Jobs Policy']	['BPDA (Boston Planning & Development Agency) contract compliance database']	['Department of Innovation and Technology']	['Public Record']	yes	['Daily']	none	none		['economic development']	['Boston (all)']	BPDA Management Information Systems	brawebmaster@boston.gov	(617) 722-4300
Active work sites	5844fb515dd4929138201e85	['Tabular']	['Public Works Department']	['City of Boston Utility Coordination System']	['Department of Innovation and Technology']	['Public Record']	yes	['Daily']	none	none		['public works']	['Boston (all)']	Senior Data Processing Systems Analyst, Public Works	paul.taylor@boston.gov	(617) 635-7498
BPDA contract compliance data	580909271e0769e92a440deb	['Tabular']	['Boston Planning & Development Agency']	['BPDA (Boston Planning & Development Agency) contract compliance database']	['Department of Innovation and Technology']	['Public Record']	yes	['Daily']	none	none		none	['Boston (all)']	BPDA Management Information Systems	brawebmaster@boston.gov	(617) 722-4300
The City of Boston’s tax rate history	57fd4a9c8a66032d379b7e55	['Tabular']	['Assessing Department']	['Internal']	['Department of Innovation and Technology']	['Public Record']	yes	['Annual']	none	none		['property assessment']	['Boston (all)']	Director of Tax Policy & Communications	matthew.englander@boston.gov	(617) 635-4797
Records destruction approvals	57e59321abad61921f5db6cc	['Tabular']	['Archives and Records Management']	['Internal']	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	2013-03-01	none		['archives']	['Boston (all)']	Archives and Records Management	archives@boston.gov	(617) 635-1195
Research statistics	57e57429e97863da1f8e465d	['Tabular']	['Archives and Records Management']	['Internal']	['Department of Innovation and Technology']	['Public Record']	yes	['Monthly']	2016-07-01	none	Current fiscal year updated monthly	['archives']	['Boston (all)']	Archives and Records Management	archives@boston.gov	(617) 635-1195
Parking meter payments by method	57c58fe184bea1e01aa49576	['Tabular']	['Office of the Parking Clerk']	['myParkfolio', 'Park Boston', 'IPS Data Management System (DMS)']	['Department of Innovation and Technology']	['Public Record']	yes	['Quarterly']	2016-01-01	none		['parking']	['Boston (all)']	Office of the Parking Clerk	none	(617) 635-4410
Building Energy Reporting and Disclosure Ordinance	57b21c8e67d437161a265671	['Tabular']	['Environment Department']	['ENERGY STAR Portfolio Manager\xc2\xae']	['Department of Innovation and Technology']	['Public Record']	yes	['Annual']	2015-01-01	2015-12-31	Data coverage is the calendar prior to reporting year	['environment']	['Boston (all)']	Environment Department	environment@cityofboston.gov	(617) 635-3850
Affordable/income restricted housing lotteries	5797c39ffba97a8d42c4db85	['Tabular']	['Fair Housing & Equity']	['Internal']	['Department of Innovation and Technology']	['Public Record']	yes	['Quarterly']	none	none	Current year updated quarterly	['fair housing']	['Boston (all)']	Fair Housing & Equity	fairhousing@boston.gov	(617) 635-2500
Property Assessment	579637fe1ee5a570403e0f06	['Tabular']	['Assessing Department']	['Internal']	['Department of Innovation and Technology']	['Public Record']	yes	['Annual']	none	none		['property assessment']	['Boston (all)']	Assessing Department	assessing@boston.gov	(617) 635-4321
Assessing Online	57961ee9695bf66e400fd025	['External']	['Assessing Department']	['Internal']	['Department of Innovation and Technology']	['Public Record']	yes	['Annual']	none	none		none	['Boston (all)']	Assessing Department	assessing@boston.gov	(617) 635-4321
Graffiti cleaned	57923f45081a88ae4c0fec7e	['Tabular']	['Property Management']	['Internal', 'City Constituent Relationship Management (CRM) System']	['Department of Innovation and Technology']	['Public Record']	yes	['Weekly']	none	none	Current month updated weekly	['operations']	['Boston (all)']	Property Management	propertymanagement@boston.gov	(617) 635-4100
