title	type	desc	provider	source	publisher	classification	open	update freq	from	to	coverage notes	topic	geo coverage	contact point	contact email	contact phone	keywords
Building and property violations	['Tabular']	5857ee5c14c9af98469126cc	['Inspectional Services Department']	['City wide Enterprise Permitting and Licensing Software']	['Department of Innovation and Technology']	public	yes	R/P1D	2017-01-01	none	none	['inspections']	['Boston (all)']	Director of Publicity, ISD	isd@boston.gov	(617) 961-3429	['Code Violations', 'Building and Structures Division']
City of Boston food establishment inspections	['Tabular']	5852e848f61d99714adbc234	['Health Division, Inspectional Services Department']	['City wide Enterprise Permitting and Licensing Software']	['Department of Innovation and Technology']	public	no	R/P1D	2008-01-01	none	none	['inspections']	['Boston (all)']	Health Division, Inspectional Services Department	isdhealth@boston.gov	(617) 635-5326	['food alerts', 'miscellaneous inspections', 'complaints', 'Routine inspections', 'CRM inspections']
BRJP contract compliance data	['Tabular']	584f7043d8b173ec48372a48	['Boston Residents Jobs Policy']	['BPDA (Boston Planning & Development Agency) contract compliance database']	['Department of Innovation and Technology']	public	yes	R/P1D	none	none	none	['economic development']	['Boston (all)']	BPDA Management Information Systems	brawebmaster@boston.gov	(617) 722-4300	none
Active work sites	['Tabular']	5844fb515dd4929138201e85	['Public Works Department']	['City of Boston Utility Coordination System']	['Department of Innovation and Technology']	public	yes	R/P1D	none	none	none	['public works']	['Boston (all)']	Senior Data Processing Systems Analyst, Public Works	paul.taylor@boston.gov	(617) 635-7498	none
BPDA contract compliance data	['Tabular']	580909271e0769e92a440deb	['Boston Planning & Development Agency']	['BPDA (Boston Planning & Development Agency) contract compliance database']	['Department of Innovation and Technology']	public	yes	R/P1D	none	none	none	none	['Boston (all)']	BPDA Management Information Systems	brawebmaster@boston.gov	(617) 722-4300	['trades', 'percentages', 'hours', 'BRJP category', 'project']
The City of Boston’s tax rate history	['Tabular']	57fd4a9c8a66032d379b7e55	['Assessing Department']	['Internal']	['Department of Innovation and Technology']	public	yes	R/P1Y	none	none	none	['property assessment']	['Boston (all)']	Director of Tax Policy & Communications	matthew.englander@boston.gov	(617) 635-4797	['tax rate', 'property', 'property tax', 'exemption', 'residential exemption', 'rate', 'commercial', 'residential']
Records destruction approvals	['Tabular']	57e59321abad61921f5db6cc	['Archives and Records Management']	['Internal']	['Department of Innovation and Technology']	public	yes	R/P1M	2013-03-01	none	none	['archives']	['Boston (all)']	Archives and Records Management	archives@boston.gov	(617) 635-1195	none
Research statistics	['Tabular']	57e57429e97863da1f8e465d	['Archives and Records Management']	['Internal']	['Department of Innovation and Technology']	public	yes	R/P1M	2016-07-01	none	Current fiscal year updated monthly	['archives']	['Boston (all)']	Archives and Records Management	archives@boston.gov	(617) 635-1195	none
Parking meter payments by method	['Tabular']	57c58fe184bea1e01aa49576	['Office of the Parking Clerk']	['myParkfolio', 'Park Boston', 'IPS Data Management System (DMS)']	['Department of Innovation and Technology']	public	yes	R/P3M	2016-01-01	none	none	['parking']	['Boston (all)']	Office of the Parking Clerk	none	(617) 635-4410	none
Building Energy Reporting and Disclosure Ordinance	['Tabular']	57b21c8e67d437161a265671	['Environment Department']	['ENERGY STAR Portfolio Manager\xc2\xae']	['Department of Innovation and Technology']	public	yes	R/P1Y	2015-01-01	2015-12-31	Data coverage is the calendar prior to reporting year	['environment']	['Boston (all)']	Environment Department	environment@cityofboston.gov	(617) 635-3850	['Portfolio Manager', 'EPA ', 'GHG', 'BERDO']
Affordable/income restricted housing lotteries	['Tabular']	5797c39ffba97a8d42c4db85	['Fair Housing & Equity']	['Internal']	['Department of Innovation and Technology']	public	yes	R/P3M	none	none	Current year updated quarterly	['fair housing']	['Boston (all)']	Fair Housing & Equity	fairhousing@boston.gov	(617) 635-2500	none
Property Assessment	['Tabular']	579637fe1ee5a570403e0f06	['Assessing Department']	['Internal']	['Department of Innovation and Technology']	public	yes	R/P1Y	none	none	none	['property assessment']	['Boston (all)']	Assessing Department	assessing@boston.gov	(617) 635-4321	none
Assessing Online	['External']	57961ee9695bf66e400fd025	['Assessing Department']	['Internal']	['Department of Innovation and Technology']	public	yes	R/P1Y	none	none	none	none	['Boston (all)']	Assessing Department	assessing@boston.gov	(617) 635-4321	none
Graffiti cleaned	['Tabular']	57923f45081a88ae4c0fec7e	['Property Management']	['Internal', 'City Constituent Relationship Management (CRM) System']	['Department of Innovation and Technology']	public	yes	R/P1W	none	none	Current month updated weekly	['operations']	['Boston (all)']	Property Management	propertymanagement@boston.gov	(617) 635-4100	['issue resolution', 'graffiti ']
After school programs at community centers	['Tabular']	579228da2600cbad44f8bbc6	['Boston Centers for Youth and Families']	['Bostracks Enfocus']	['Department of Innovation and Technology']	public	yes	R/P1Y	none	none	Gives data for last and current school year.	['health & human services']	['Boston (all)']	Boston Centers for Youth and Families	bcyf@cityofboston.gov	(617) 635-4920	none
Dockets filed by the Mayor	['Tabular']	579221351981ff9f40ef463c	['Intergovernmental Relations']	[' City Clerk documents and assigned docket numbers.']	['Department of Innovation and Technology']	public	yes	R/P1Y	none	none	none	['intergovernmental relations']	none	Intergovernmental Relations	igr@cityofboston.gov	(617) 635-3817	['city council relations', 'status', 'budget', 'legislation', 'docket']
Parking freeze permits	['Tabular']	5791360911ee89c244d5eb14	['Environment Department']	['Internal']	['Department of Innovation and Technology']	public	yes	R/P1M	none	none	none	['environment']	['Downtown Boston', 'South Boston']	Environment Department	environment@cityofboston.gov	(617) 635-3850	none
