dataset id	response code	contact point	contact point email	provider
311-service-requests	200	innovation	opengov@cityofboston.gov	innovation
911-daily-dispatch-count-by-agency	200	innovation	opengov@cityofboston.gov	innovation
active-food-establishment-licenses	200	innovation	opengov@cityofboston.gov	innovation
all-section-12-alcohol-licenses	200	innovation	opengov@cityofboston.gov	innovation
approved-building-permits	200	innovation	opengov@cityofboston.gov	innovation
article80-projects-as-of-july-2016	200	innovation	EGIS_Team@boston.gov	innovation
big-belly-alerts-2014	200	innovation	opengov@cityofboston.gov	innovation
big-belly-alerts-tableau	500
big-belly-locations	200	innovation	opengov@cityofboston.gov	innovation
blc-historic-districts	200	innovation	EGIS_Team@boston.gov	innovation
blc-landmarks	200	innovation	EGIS_Team@boston.gov	innovation
boston-jobs-policy-compliance-reports	200	innovation	opengov@cityofboston.gov	innovation
boston-maps-arcgis-online	200	no key	no key	no key
boston-neighborhood-shapefiles	200	innovation	opengov@cityofboston.gov	innovation
boston-open-budget-project-phase-descriptions	200	innovation	opengov@cityofboston.gov	innovation
boston-police-department-fio	200	innovation	opengov@cityofboston.gov	innovation
boston-police-department-firearms-recovery-counts	200	innovation	opengov@cityofboston.gov	innovation
boston-public-library-daily-active-user-counts	200	innovation	opengov@cityofboston.gov	innovation
boston-segments	200	innovation	EGIS_Team@boston.gov	innovation
boston-zip-codes	500
boundary	200	innovation	EGIS_Team@boston.gov	innovation
boundary-50ft-buffer	200	innovation	EGIS_Team@boston.gov	innovation
btd-sign-shop-completed-workorders	200	innovation	opengov@cityofboston.gov	innovation
budget-facilities	200	innovation	EGIS_Team@boston.gov	innovation
budget-facilities-fy2017	200	innovation	EGIS_Team@boston.gov	innovation
building-energy-and-water-use-metrics	200	innovation	opengov@cityofboston.gov	innovation
buildings	200	innovation	EGIS_Team@boston.gov	innovation
charging-stations	200	innovation	EGIS_Team@boston.gov	innovation
checkbook-explorer	200	innovation	opengov@cityofboston.gov	innovation
city-council-districts	200	innovation	EGIS_Team@boston.gov	innovation
city-of-boston-owned-property	200	innovation	opengov@cityofboston.gov	innovation
city-of-boston-projects-fy2017	200	innovation	EGIS_Team@boston.gov	innovation
city-of-boston-utility-data-2011-2015	200	innovation	opengov@cityofboston.gov	innovation
cityscore-full-metric-list	200	innovation	opengov@cityofboston.gov	innovation
cityscore-summary	200	innovation	opengov@cityofboston.gov	innovation
closed-road	200	innovation	EGIS_Team@boston.gov	innovation
cob-executive-order-open-data-4-7-2014	200	innovation	opengov@cityofboston.gov	innovation
code-enforcement-building-and-property-violations	200	innovation	opengov@cityofboston.gov	innovation
colleges-and-universities	200	innovation	EGIS_Team@boston.gov	innovation
community-center-pools	200	innovation	EGIS_Team@boston.gov	innovation
contour	200	innovation	EGIS_Team@boston.gov	innovation
cori-vendor-report	200	innovation	opengov@cityofboston.gov	innovation
cori-vendor-report-updated-as-of-may-2016	200	innovation	opengov@cityofboston.gov	innovation
crime-incident-reports-august-2015-to-date-source-new-system	200	innovation	opengov@cityofboston.gov	innovation
crime-incident-reports-july-2012-august-2015-source-legacy-system	200	innovation	opengov@cityofboston.gov	innovation
curbs	200	innovation	EGIS_Team@boston.gov	innovation
current-parcels	200	innovation	EGIS_Team@boston.gov	innovation
data-dictionary	200	innovation	opengov@cityofboston.gov	innovation
department-of-neighborhood-development-property-inventory	200	innovation	opengov@cityofboston.gov	innovation
dnd-managed-city-property-developable	200	innovation	opengov@cityofboston.gov	innovation
dnd-managed-city-property-inventory-all	200	innovation	opengov@cityofboston.gov	innovation
economic-indicators	200	innovation	opengov@cityofboston.gov	innovation
employee-earnings-report-2011	200	innovation	opengov@cityofboston.gov	innovation
employee-earnings-report-2012	200	innovation	opengov@cityofboston.gov	innovation
employee-earnings-report-2013	200	innovation	opengov@cityofboston.gov	innovation
employee-earnings-report-2014	200	innovation	opengov@cityofboston.gov	innovation
employee-earnings-report-2015	200	innovation	opengov@cityofboston.gov	innovation
entertainment-licenses	200	innovation	opengov@cityofboston.gov	innovation
existing-bike-network	200	innovation	EGIS_Team@boston.gov	innovation
fire-boxes	200	innovation	EGIS_Team@boston.gov	innovation
fire-departments	200	innovation	EGIS_Team@boston.gov	innovation
fire-districts	200	innovation	EGIS_Team@boston.gov	innovation
fire-hydrant	200	innovation	EGIS_Team@boston.gov	innovation
food-establishment-inspections	200	innovation	opengov@cityofboston.gov	innovation
fy16-cob-gen-fund-budget	200	innovation	opengov@cityofboston.gov	innovation
fy17-adopted-budget-data	200	innovation	opengov@cityofboston.gov	innovation
fy17-cob-gen-fund-budget	200	innovation	opengov@cityofboston.gov	innovation
groundwater-conservation-overlay-district	200	innovation	EGIS_Team@boston.gov	innovation
hospital-locations	200	innovation	opengov@cityofboston.gov	innovation
hubway-stations	200	innovation	EGIS_Team@boston.gov	innovation
hydrography-line	200	innovation	EGIS_Team@boston.gov	innovation
hydrography-polygon	200	innovation	EGIS_Team@boston.gov	innovation
impervious-other	200	innovation	EGIS_Team@boston.gov	innovation
impervious-surface	200	innovation	EGIS_Team@boston.gov	innovation
issued-permits-all-types	200	innovation	opengov@cityofboston.gov	innovation
liquor-licenses	200	innovation	opengov@cityofboston.gov	innovation
live-street-address-management-sam-addresses	200	innovation	EGIS_Team@boston.gov	innovation
main-street-districts	200	innovation	EGIS_Team@boston.gov	innovation
master-address-list	200	innovation	opengov@cityofboston.gov	innovation
mayors-24-hour-hotline	200	innovation	opengov@cityofboston.gov	innovation
mbta-bus-stops	200	innovation	EGIS_Team@boston.gov	innovation
municipal-building-energy-reporting	200	innovation	EGIS_Team@boston.gov	innovation
municipal-energy-data	200	innovation	opengov@cityofboston.gov	innovation
non-public-schools	200	innovation	EGIS_Team@boston.gov	innovation
open-and-protected-data-policy	200	innovation	opengov@cityofboston.gov	innovation
open-space	200	innovation	EGIS_Team@boston.gov	innovation
ownership	200	innovation	EGIS_Team@boston.gov	innovation
parcels-2016-data-full	200	innovation	EGIS_Team@boston.gov	innovation
park-boston-monthly-transactions-by-zone-2015	200	innovation	opengov@cityofboston.gov	innovation
parking-meters	200	innovation	EGIS_Team@boston.gov	innovation
parking-tickets-portal-web-statistics	200	innovation	opengov@cityofboston.gov	innovation
pedestrian-ramp-inventory	200	innovation	EGIS_Team@boston.gov	innovation
planning-districts	200	innovation	EGIS_Team@boston.gov	innovation
police-departments	200	innovation	EGIS_Team@boston.gov	innovation
polling-locations	200	innovation	EGIS_Team@boston.gov	innovation
precincts	200	innovation	EGIS_Team@boston.gov	innovation
property-assessment-2014	200	innovation	opengov@cityofboston.gov	innovation
property-assessment-2015	200	innovation	opengov@cityofboston.gov	innovation
property-assessment-2016	200	innovation	opengov@cityofboston.gov	innovation
public-schools	200	innovation	EGIS_Team@boston.gov	innovation
public-works-active-work-zones	200	innovation	opengov@cityofboston.gov	innovation
public-works-districts	200	innovation	EGIS_Team@boston.gov	innovation
road-blocks	200	innovation	EGIS_Team@boston.gov	innovation
sea-level-rise-plus-5-feet	200	innovation	EGIS_Team@boston.gov	innovation
sea-level-rise-plus-7-5-feet	200	innovation	EGIS_Team@boston.gov	innovation
sidewalk-centerline	200	innovation	EGIS_Team@boston.gov	innovation
sidewalk-inventory	200	innovation	EGIS_Team@boston.gov	innovation
snow-emergency-routes	200	innovation	EGIS_Team@boston.gov	innovation
snowparking	200	innovation	EGIS_Team@boston.gov	innovation
spray-features	200	innovation	EGIS_Team@boston.gov	innovation
street-light-control-box-electric-power-cost-usage-details	200	innovation	opengov@cityofboston.gov	innovation
streetlight-locations	200	innovation	opengov@cityofboston.gov	innovation
street-light-retrofits-2014	200	innovation	opengov@cityofboston.gov	innovation
street-sweeping-schedules	200	innovation	opengov@cityofboston.gov	innovation
test-dataset	200	innovation	landfill@gmail.com	youth
test-five	200	innovation	opengov	innovation
test-six	200	innovation	opengov	innovation
traffic-signals	200	innovation	EGIS_Team@boston.gov	innovation
transportation-districts	200	innovation	EGIS_Team@boston.gov	innovation
trash-collection-days	200	innovation	EGIS_Team@boston.gov	innovation
trash-schedules-by-address	200	innovation	opengov@cityofboston.gov	innovation
trees	200	innovation	EGIS_Team@boston.gov	innovation
tweets-sent-from-notifyboston-from-march-2014-march-2015	200	innovation	opengov@cityofboston.gov	innovation
vehicle-excise-tax-2014	200	innovation	opengov@cityofboston.gov	innovation
vision-zero-comment	200	innovation	EGIS_Team@boston.gov	innovation
vision-zero-data	500
vision-zero-entry	200	innovation	EGIS_Team@boston.gov	innovation
vision-zero-explorer	500
wards	200	innovation	EGIS_Team@boston.gov	innovation
wdpc-2015	200	innovation	EGIS_Team@boston.gov	innovation
wicked-free-wi-fi-daily-connections	200	innovation	opengov@cityofboston.gov	innovation
wicked-free-wi-fi-locations	200	innovation	EGIS_Team@boston.gov	innovation
zip-codes	200	innovation	EGIS_Team@boston.gov	innovation
zoning-districts	200	innovation	EGIS_Team@boston.gov	innovation
zoning-subdistricts	200	innovation	EGIS_Team@boston.gov	innovation
