dataset id	resources updated
311-service-requests	1
911-daily-dispatch-count-by-agency	1
active-food-establishment-licenses	1
all-section-12-alcohol-licenses	1
approved-building-permits	1
article80-projects-as-of-july-2016	6
big-belly-alerts-2014	1
big-belly-alerts-tableau	no resources
big-belly-locations	1
blc-historic-districts	6
blc-landmarks	6
boston-jobs-policy-compliance-reports	1
boston-maps-arcgis-online	no resources
boston-neighborhood-shapefiles	1
boston-open-budget-project-phase-descriptions	1
boston-police-department-fio	1
boston-police-department-firearms-recovery-counts	1
boston-public-library-daily-active-user-counts	1
boston-segments	6
boston-zip-codes	no key
boundary	6
boundary-50ft-buffer	6
btd-sign-shop-completed-workorders	1
budget-facilities	6
budget-facilities-fy2017	6
building-energy-and-water-use-metrics	1
buildings	6
charging-stations	6
checkbook-explorer	1
city-council-districts	6
city-of-boston-owned-property	5
city-of-boston-projects-fy2017	6
city-of-boston-utility-data-2011-2015	1
cityscore-full-metric-list	1
cityscore-summary	1
closed-road	6
cob-executive-order-open-data-4-7-2014	1
code-enforcement-building-and-property-violations	1
colleges-and-universities	6
community-center-pools	6
contour	6
cori-vendor-report	1
cori-vendor-report-updated-as-of-may-2016	1
crime-incident-reports-august-2015-to-date-source-new-system	1
crime-incident-reports-july-2012-august-2015-source-legacy-system	1
curbs	6
current-parcels	6
data-dictionary	1
department-of-neighborhood-development-property-inventory	1
dnd-managed-city-property-developable	5
dnd-managed-city-property-inventory-all	5
economic-indicators	1
employee-earnings-report-2011	1
employee-earnings-report-2012	1
employee-earnings-report-2013	1
employee-earnings-report-2014	1
employee-earnings-report-2015	1
entertainment-licenses	1
existing-bike-network	6
fire-boxes	6
fire-departments	6
fire-districts	6
fire-hydrant	6
food-establishment-inspections	1
fy16-cob-gen-fund-budget	5
fy17-adopted-budget-data	1
fy17-cob-gen-fund-budget	1
groundwater-conservation-overlay-district	6
hospital-locations	1
hubway-stations	6
hydrography-line	6
hydrography-polygon	6
impervious-other	6
impervious-surface	6
issued-permits-all-types	1
liquor-licenses	1
live-street-address-management-sam-addresses	6
main-street-districts	6
master-address-list	1
mayors-24-hour-hotline	1
mbta-bus-stops	6
municipal-building-energy-reporting	6
municipal-energy-data	1
non-public-schools	6
open-and-protected-data-policy	1
open-space	6
ownership	6
parcels-2016-data-full	6
park-boston-monthly-transactions-by-zone-2015	1
parking-meters	6
parking-tickets-portal-web-statistics	1
pedestrian-ramp-inventory	6
planning-districts	6
police-departments	6
polling-locations	6
precincts	6
property-assessment-2014	1
property-assessment-2015	1
property-assessment-2016	1
public-schools	6
public-works-active-work-zones	1
public-works-districts	6
road-blocks	6
sea-level-rise-plus-5-feet	6
sea-level-rise-plus-7-5-feet	6
sidewalk-centerline	6
sidewalk-inventory	6
snow-emergency-routes	6
snowparking	6
spray-features	6
street-light-control-box-electric-power-cost-usage-details	1
streetlight-locations	5
street-light-retrofits-2014	1
street-sweeping-schedules	1
test-dataset	2
test-five	no resources
test-six	no resources
traffic-signals	6
transportation-districts	6
trash-collection-days	6
trash-schedules-by-address	1
trees	6
tweets-sent-from-notifyboston-from-march-2014-march-2015	1
vehicle-excise-tax-2014	1
vision-zero-comment	4
vision-zero-data	no resources
vision-zero-entry	6
vision-zero-explorer	no resources
wards	6
wdpc-2015	6
wicked-free-wi-fi-daily-connections	1
wicked-free-wi-fi-locations	6
zip-codes	6
zoning-districts	6
zoning-subdistricts	6
