id	code	contact_point	contact_email
building-and-property-violations	200	publicity	isd@boston.gov
city-of-boston-food-establishment-inspections	200	innovation	isdhealth@boston.gov
brjp-contract-compliance-data	200	bpda	brawebmaster@boston.gov
active-work-sites	200	innovation	paul.taylor@boston.gov
bpda-contract-compliance-data	200	bpda	brawebmaster@boston.gov
the-city-of-bostons-tax-rate-history	200	tax_policy	matthew.englander@boston.gov
records-destruction-approvals	200	archives	archives@boston.gov
research-statistics	200	archives	archives@boston.gov
parking-meter-payments-by-method	200	parking	opengov@cityofboston.gov
building-energy-reporting-and-disclosure-ordinance	200	environment	environment@cityofboston.gov
affordable-income-restricted-housing-lotteries	200	fair_housing	fairhousing@boston.gov
property-assessment	200	assessing	assessing@boston.gov
assessing-online	200	assessing	assessing@boston.gov
graffiti-cleaned	200	property	propertymanagement@boston.gov
after-school-programs-at-community-centers	200	youth	bcyf@cityofboston.gov
dockets-filed-by-the-mayor	200	intergovernmental_relations	igr@cityofboston.gov
parking-freeze-permits	200	environment	environment@cityofboston.gov
economic-workforce-development	200	economic_office	meghan.haggerty@boston.gov
tropical-storm-irene-2011	200	emergency_management	oem@cityofboston.gov
boston-cultural-council-grants-awarded	200	arts_office	arts@cityofboston.gov
constituent-contacts	200	immigrant_advancement	newbostonians@boston.gov
cityscore	200	doit_data	analytics@boston.gov
fire-incident-reporting	200	fire_operations	publicinfo.bfd@cityofboston.gov
property-inventory	200	real_estate	donald.wright@boston.gov
enterprise-employment-data	200	hr	ohr@cityofboston.gov
entertainment-licenses	200	consumer_asst	rebecca.phu@boston.gov
city-hall-to-go-master-transaction	200	neighborhood	jerome.smith@boston.gov
fiscal-year-adopted-budget	200	budget_admin	budget@cityofboston.gov
clough-house-archaeology	200	archaeology	archaeology@boston.gov
economic-indicators	200	planning	opengov@cityofboston.gov
city-of-boston-bid-results	200	procurement	purchasing@boston.gov
daily-active-user-counts	200	data_literacy	opengov@cityofboston.gov
traffic-related-data	200	transportation	opengov@cityofboston.gov
rainfall-data	200	water	kimd@bwsc.org
911-dispatches	200	police	mediarelations.bpd@ci.boston.ma.us
commissioner-events-attendance	200	veterans	veterans@cityofboston.gov
chapter-115-financial-services-for-indigent-veterans-and-their-dependents	200	veterans	veterans@cityofboston.gov
fiscal-year-recommended-budget	200	budget_admin	budget@cityofboston.gov
approved-issued-building-permits	200	publicity	isd@boston.gov
boston-ems-transports-by-age	200	ems	emailems@bostonems.org
boston-ems-incidents-by-neighborhood	200	ems	emailems@bostonems.org
employee-earnings-report	200	innovation	opengov@cityofboston.gov
311-service-requests	200	311	opengov@cityofboston.gov
