dataset id	http response
311-service-requests	200
911-daily-dispatch-count-by-agency	200
active-food-establishment-licenses	200
all-section-12-alcohol-licenses	200
approved-building-permits	200
article80-projects-as-of-july-2016	200
big-belly-alerts-2014	200
big-belly-locations	200
blc-historic-districts	200
blc-landmarks	200
boston-jobs-policy-compliance-reports	200
boston-maps-arcgis-online	200
boston-neighborhood-shapefiles	200
boston-police-department-fio	200
boston-police-department-firearms-recovery-counts	200
boston-public-library-daily-active-user-counts	200
boston-segments	200
boundary	200
boundary-50ft-buffer	200
btd-sign-shop-completed-workorders	200
budget-facilities	200
budget-facilities-fy2017	200
building-energy-and-water-use-metrics	200
buildings	200
charging-stations	200
city-council-districts	200
city-of-boston-projects-fy2017	200
closed-road	200
colleges-and-universities	200
community-center-pools	200
contour	200
curbs	200
current-parcels	200
data-dictionary	200
existing-bike-network	200
fire-boxes	200
fire-departments	200
fire-districts	200
fire-hydrant	200
groundwater-conservation-overlay-district	200
hubway-stations	200
hydrography-line	200
hydrography-polygon	200
impervious-other	200
impervious-surface	200
live-street-address-management-sam-addresses	200
main-street-districts	200
mbta-bus-stops	200
municipal-building-energy-reporting	200
non-public-schools	200
open-space	200
ownership	200
parcels-2016-data-full	200
parking-meters	200
pedestrian-ramp-inventory	200
planning-districts	200
police-departments	200
polling-locations	200
precincts	200
public-schools	200
public-works-districts	200
road-blocks	200
sea-level-rise-plus-5-feet	200
sea-level-rise-plus-7-5-feet	200
sidewalk-centerline	200
sidewalk-inventory	200
snow-emergency-routes	200
snowparking	200
spray-features	200
test-dataset	200
test-five	200
test-six	200
traffic-signals	200
transportation-districts	200
trash-collection-days	200
trees	200
vision-zero-comment	200
vision-zero-entry	200
vision-zero-explorer	200
wards	200
wdpc-2015	200
wicked-free-wi-fi-locations	200
zip-codes	200
zoning-districts	200
zoning-subdistricts	200
