dataset id	http response
311-service-requests	200
911-daily-dispatch-count-by-agency	200
active-food-establishment-licenses	200
all-section-12-alcohol-licenses	200
approved-building-permits	200
article80-projects-as-of-july-2016	200
big-belly-alerts-2014	200
big-belly-alerts-tableau	500
big-belly-locations	200
blc-historic-districts	200
blc-landmarks	200
boston-jobs-policy-compliance-reports	200
boston-maps-arcgis-online	200
boston-neighborhood-shapefiles	200
boston-open-budget-project-phase-descriptions	409
boston-police-department-fio	200
boston-police-department-firearms-recovery-counts	200
boston-public-library-daily-active-user-counts	200
boston-segments	200
boston-zip-codes	500
boundary	200
boundary-50ft-buffer	200
btd-sign-shop-completed-workorders	200
budget-facilities	200
budget-facilities-fy2017	200
building-energy-and-water-use-metrics	200
buildings	200
charging-stations	200
checkbook-explorer	409
city-council-districts	200
city-of-boston-owned-property	409
city-of-boston-projects-fy2017	200
city-of-boston-utility-data-2011-2015	409
cityscore-full-metric-list	409
cityscore-summary	409
closed-road	200
cob-executive-order-open-data-4-7-2014	409
code-enforcement-building-and-property-violations	409
colleges-and-universities	200
community-center-pools	200
contour	200
cori-vendor-report	409
cori-vendor-report-updated-as-of-may-2016	409
crime-incident-reports-august-2015-to-date-source-new-system	409
crime-incident-reports-july-2012-august-2015-source-legacy-system	409
curbs	200
current-parcels	200
data-dictionary	200
department-of-neighborhood-development-property-inventory	409
dnd-managed-city-property-developable	409
dnd-managed-city-property-inventory-all	409
economic-indicators	409
employee-earnings-report-2011	409
employee-earnings-report-2012	409
employee-earnings-report-2013	409
employee-earnings-report-2014	409
employee-earnings-report-2015	409
entertainment-licenses	409
existing-bike-network	200
fire-boxes	200
fire-departments	200
fire-districts	200
fire-hydrant	200
food-establishment-inspections	409
fy16-cob-gen-fund-budget	409
fy17-adopted-budget-data	409
fy17-cob-gen-fund-budget	409
groundwater-conservation-overlay-district	200
hospital-locations	409
hubway-stations	200
hydrography-line	200
hydrography-polygon	200
impervious-other	200
impervious-surface	200
issued-permits-all-types	409
liquor-licenses	409
live-street-address-management-sam-addresses	200
main-street-districts	200
master-address-list	409
mayors-24-hour-hotline	409
mbta-bus-stops	200
municipal-building-energy-reporting	200
municipal-energy-data	409
non-public-schools	200
open-and-protected-data-policy	409
open-space	200
ownership	200
parcels-2016-data-full	200
park-boston-monthly-transactions-by-zone-2015	409
parking-meters	200
parking-tickets-portal-web-statistics	409
pedestrian-ramp-inventory	200
planning-districts	200
police-departments	200
polling-locations	200
precincts	200
property-assessment-2014	409
property-assessment-2015	409
property-assessment-2016	409
public-schools	200
public-works-active-work-zones	409
public-works-districts	200
road-blocks	200
sea-level-rise-plus-5-feet	200
sea-level-rise-plus-7-5-feet	200
sidewalk-centerline	200
sidewalk-inventory	200
snow-emergency-routes	200
snowparking	200
spray-features	200
street-light-control-box-electric-power-cost-usage-details	409
streetlight-locations	409
street-light-retrofits-2014	409
street-sweeping-schedules	409
test-dataset	200
test-five	200
test-six	200
traffic-signals	200
transportation-districts	200
trash-collection-days	200
trash-schedules-by-address	409
trees	200
tweets-sent-from-notifyboston-from-march-2014-march-2015	409
vehicle-excise-tax-2014	409
vision-zero-comment	200
vision-zero-data	500
vision-zero-entry	200
vision-zero-explorer	500
wards	200
wdpc-2015	200
wicked-free-wi-fi-daily-connections	409
wicked-free-wi-fi-locations	200
zip-codes	200
zoning-districts	200
zoning-subdistricts	200
