formatted id	response	correct id
911-daily-dispatch-count-by-agency	200	correct
all-section-12-alcohol-licenses	200	correct
approved-building-permits	200	correct
big-belly-alerts-2014	200	correct
big-belly-locations	200	correct
boston-jobs-policy-compliance-reports	200	correct
boston-neighborhood-shapefiles	200	correct
boston-police-department-fio	200	correct
boston-police-department-firearms-recovery-counts	200	correct
boston-public-library-daily-active-user-counts	200	correct
building-energy-and-water-use-metrics	200	correct
city-of-boston-owned-property	200	correct
dnd-managed-city-property-developable	200	correct
dnd-managed-city-property-inventory-all	200	correct
economic-indicators	200	correct
entertainment-licenses	200	correct
food-establishment-inspections	200	correct
hospital-locations	200	correct
liquor-licenses	200	correct
main-street-districts	200	correct
master-address-list	200	correct
municipal-energy-data	200	correct
park-boston-monthly-transactions-by-zone-2015	200	correct
parking-tickets-portal-web-statistics	200	correct
public-works-active-work-zones	200	correct
street-sweeping-schedules	200	correct
streetlight-locations	200	correct
trash-schedules-by-address	200	correct
vehicle-excise-tax-2014	200	correct
fy17-cob-gen-fund-budget	200	correct
fy16-cob-gen-fund-budget	200	correct
capital-project-phase-description	404	boston-open-budget-project-phase-descriptions
fy17-adopted-budget-data	200	correct
checkbook-explorer	200	correct
311-service-requests	200	correct
btd-sign-shop-completed-workorders	200	correct
city-of-boston-utility-data-2011-2015	200	correct
code-enforcement-building-and-property-violations	200	correct
cori-vendor-report-updated-as-of-may-2016	200	correct
crime-incident-reports-july-2012-august-2015	404	crime-incident-reports-july-2012-august-2015-source-legacy-system
department-of-neighborhood-development-property-inventory	200	correct
mayors-24-hour-hotline-cases-created-last-90-days	404	mayors-24-hour-hotline
street-light-control-box-electric-power-cost-usage-details	200	correct
street-light-retrofits2014	404	street-light-retrofits-2014
tweets-sent-from-notifyboston-from-march-2014-march-2015	200	correct
wicked-free-wifi-daily-connections	404	wicked-free-wi-fi-daily-connections
boston-open-budget-capital-budget	200	correct
boston-open-budget-capital-project-list	200	correct
