dataset id	code	comment
911-daily-dispatch-count-by-agency	200	correct id
all-section-12-alcohol-licenses	200	correct id
approved-building-permits	200	correct id
big-belly-alerts-2014	200	correct id
big-belly-locations	200	correct id
boston-jobs-policy-compliance-reports	200	correct id
boston-neighborhood-shapefiles	200	correct id
boston-police-department-fio	200	correct id
boston-police-department-firearms-recovery-counts	200	correct id
boston-public-library-daily-active-user-counts	200	correct id
building-energy-and-water-use-metrics	200	correct id
city-of-boston-owned-property	200	correct id
dnd-managed-city-property-developable	200	correct id
dnd-managed-city-property-inventory-all	200	correct id
economic-indicators	200	correct id
entertainment-licenses	200	correct id
food-establishment-inspections	200	correct id
hospital-locations	200	correct id
liquor-licenses	200	correct id
main-street-districts	200	correct id
master-address-list	200	correct id
municipal-energy-data	200	correct id
park-boston-monthly-transactions-by-zone-2015	200	correct id
parking-tickets-portal-web-statistics	200	correct id
public-works-active-work-zones	200	correct id
street-sweeping-schedules	200	correct id
streetlight-locations	200	correct id
trash-schedules-by-address	200	correct id
vehicle-excise-tax-2014	200	correct id
fy17-cob-gen-fund-budget	200	correct id
fy16-cob-gen-fund-budget	200	correct id
boston-open-budget-project-phase-descriptions	200	correct id
fy17-adopted-budget-data	200	correct id
checkbook-explorer	200	correct id
311-service-requests	200	correct id
btd-sign-shop-completed-workorders	200	correct id
city-of-boston-utility-data-2011-2015	200	correct id
code-enforcement-building-and-property-violations	200	correct id
cori-vendor-report-updated-as-of-may-2016	200	correct id
crime-incident-reports-july-2012-august-2015-source-legacy-system	200	correct id
department-of-neighborhood-development-property-inventory	200	correct id
mayors-24-hour-hotline	200	correct id
street-light-control-box-electric-power-cost-usage-details	200	correct id
street-light-retrofits-2014	200	correct id
tweets-sent-from-notifyboston-from-march-2014-march-2015	200	correct id
wicked-free-wi-fi-daily-connections	200	correct id
boston-open-budget-capital-budget	200	correct id
boston-open-budget-capital-project-list	200	correct id
